分类: 🐧┃卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 107, IPv6: 0, 最小延迟: 63 ms, 最高速率: 9.52 M/s, 平均速率: 7.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 90, IPv6: 0, 最小延迟: 62 ms, 最高速率: 9.68 M/s, 平均速率: 8.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 94, IPv6: 0, 最小延迟: 54 ms, 最高速率: 9.64 M/s, 平均速率: 8.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 山西卫视, 有效: 6, IPv4: 78, IPv6: 0, 最小延迟: 55 ms, 最高速率: 9.69 M/s, 平均速率: 8.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 93, IPv6: 0, 最小延迟: 61 ms, 最高速率: 9.63 M/s, 平均速率: 9.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 120, IPv6: 0, 最小延迟: 87 ms, 最高速率: 7.58 M/s, 平均速率: 6.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 97, IPv6: 0, 最小延迟: 55 ms, 最高速率: 9.82 M/s, 平均速率: 8.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 三沙卫视, 有效: 6, IPv4: 54, IPv6: 0, 最小延迟: 55 ms, 最高速率: 9.94 M/s, 平均速率: 8.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 63, IPv6: 0, 最小延迟: 54 ms, 最高速率: 9.70 M/s, 平均速率: 8.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 新疆卫视, 有效: 6, IPv4: 74, IPv6: 0, 最小延迟: 57 ms, 最高速率: 10.09 M/s, 平均速率: 9.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 83, IPv6: 0, 最小延迟: 54 ms, 最高速率: 9.88 M/s, 平均速率: 8.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🚂┃湾区频道, 名称: 翡翠台 backup, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🚂┃湾区频道, 名称: iNews 新闻台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🚂┃湾区频道, 名称: J 2, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
